
    1.460000,    15.089975,     3.051944

    1.470000,    15.120494,     2.773556

    1.480000,    15.148230,     2.497086

    1.490000,    15.173201,     2.222842

    1.500000,    15.195429,     1.951127

    1.510000,    15.214940,     1.682245

    1.520000,    15.231763,     1.416494

    1.530000,    15.245928,     1.154168

    1.540000,    15.257469,     0.895561

    1.550000,    15.266425,     0.640958

    1.560000,    15.272835,     0.390643

    1.570000,    15.276741,     0.144894

    1.580000,    15.278190,    -0.096016

    1.590000,    15.277230,    -0.331819

    1.600000,    15.273912,    -0.562254

    1.610000,    15.268289,    -0.787064

    1.620000,    15.260418,    -1.005999

    1.630000,    15.250358,    -1.218817

    1.640000,    15.238170,    -1.425280

    1.650000,    15.223917,    -1.625160

    1.660000,    15.207666,    -1.818234

    1.670000,    15.189483,    -2.004288

    1.680000,    15.169441,    -2.183114

    1.690000,    15.147609,    -2.354515

    1.700000,    15.124064,    -2.518300

    1.710000,    15.098881,    -2.674287

    1.720000,    15.072138,    -2.822303

    1.730000,    15.043915,    -2.962182

    1.740000,    15.014294,    -3.093770

    1.750000,    14.983356,    -3.216921

    1.760000,    14.951187,    -3.331497

    1.770000,    14.917872,    -3.437372

    1.780000,    14.883498,    -3.534427

    1.790000,    14.848154,    -3.622555

    1.800000,    14.811928,    -3.701659

    1.810000,    14.774912,    -3.771649

    1.820000,    14.737195,    -3.832448

    1.830000,    14.698871,    -3.883989

    1.840000,    14.660031,    -3.926215

    1.850000,    14.620769,    -3.959078

    1.860000,    14.581178,    -3.982542

    1.870000,    14.541352,    -3.996581

    1.880000,    14.501387,    -4.001180

    1.890000,    14.461375,    -3.996333

    1.900000,    14.421411,    -3.982045

    1.910000,    14.381591,    -3.958333

    1.920000,    14.342008,    -3.925223

    1.930000,    14.302755,    -3.882751

    1.940000,    14.263928,    -3.830965

    1.950000,    14.225618,    -3.769923

    1.960000,    14.187919,    -3.699692

    1.970000,    14.150922,    -3.620350

    1.980000,    14.114719,    -3.531985

    1.990000,    14.079399,    -3.434696

    2.000000,    14.045052,    -3.328591

    2.010000,    14.011766,    -3.213787

    2.020000,    13.979628,    -3.090412

    2.030000,    13.948724,    -2.958604

    2.040000,    13.919138,    -2.818508

    2.050000,    13.890953,    -2.670281

    2.060000,    13.864250,    -2.514086

    2.070000,    13.839109,    -2.350098

    2.080000,    13.815608,    -2.178499

    2.090000,    13.793823,    -1.999479

    2.100000,    13.773828,    -1.813238

    2.110000,    13.755696,    -1.619982

    2.120000,    13.739496,    -1.419926

    2.130000,    13.725297,    -1.213293

    2.140000,    13.713164,    -1.000311

    2.150000,    13.703161,    -0.781218

